16626340,1
1956,0
639,1
54,0
496,1
275,0
329,1
289,0
310,1
342,0
276,1
271,0
315,1
240,0
333,1
267,0
291,1
280,0
332,1
283,0
318,1
281,0
322,1
268,0
1182,1
256,0
278,1
57,0
53,1
53,0
1077,1
60,0
53,1
101,0
169,1
53,0
50,1
51,0
1093,1
99,0
1243,1
58,0
1380,1
62,0
52,1
57,0
213,1
276,0
331,1
254,0
345,1
264,0
1189,1
62,0
518,1
265,0
289,1
54,0
55,1
53,0
1038,1
240,0
1185,1
54,0
54,1
54,0
230,1
83,0
54,1
51,0
1059,1
278,0
291,1
62,0
54,1
51,0
216,1
53,0
96,1
52,0
165,1
53,0
52,1
98,0
176,1
51,0
54,1
99,0
164,1
226,0
309,1
248,0
1175,1
58,0
1390,1
53,0
1356,1
54,0
98,1
54,0
978,1
56,0
101,1
52,0
985,1
84,0
1347,1
254,0
334,1
222,0
376,1
241,0
1198,1
57,0
1374,1
243,0
293,1
271,0
1170,1
258,0
313,1
57,0
53,1
99,0
179,1
54,0
54,1
105,0
163,1
54,0
53,1
52,0
229,1
95,0
494,1
54,0
498,1
224,0
1190,1
203,0
1254,1
207,0
345,1
56,0
1384,1
58,0
547,1
189,0
398,1
210,0
422,1
211,0
396,1
94,0
1336,1
56,0
1401,1
61,0
1363,1
230,0
415,1
203,0
1226,1
207,0
396,1
65,0
1424,1
93,0
1323,1
57,0
553,1
93,0
516,1
53,0
44149254,1
2301,0
699,1
54,0
51,1
105,0
168,1
281,0
354,1
252,0
328,1
307,0
1197,1
274,0
218,1
269,0
335,1
259,0
328,1
287,0
300,1
263,0
371,1
248,0
1184,1
246,0
312,1
58,0
54,1
55,0
1047,1
63,0
50,1
53,0
195,1
61,0
54,1
51,0
1044,1
54,0
52,1
56,0
1047,1
60,0
52,1
52,0
1042,1
274,0
323,1
269,0
311,1
276,0
293,1
55,0
51,1
50,0
225,1
295,0
275,1
51,0
51,1
54,0
1070,1
292,0
1082,1
57,0
99,1
56,0
199,1
99,0
503,1
277,0
302,1
281,0
356,1
57,0
52,1
53,0
220,1
51,0
97,1
53,0
185,1
54,0
94,1
56,0
183,1
53,0
99,1
56,0
215,1
251,0
325,1
264,0
1160,1
52,0
55,1
108,0
988,1
61,0
1387,1
60,0
53,1
96,0
1011,1
56,0
1356,1
62,0
1387,1
255,0
342,1
250,0
349,1
169,0
1220,1
61,0
1413,1
207,0
350,1
272,0
1225,1
211,0
343,1
60,0
51,1
54,0
199,1
64,0
54,1
102,0
167,1
55,0
52,1
52,0
193,1
51,0
54,1
104,0
177,1
267,0
